BS_Call,Last_Call,Bid_Call,Ask_Call,Change_Call,Delta_Call,IV_Call,Vol_Call,OpenInt_Call,Strike,Last_Put,Bid_Put,Ask_Put,Change_Put,Delta_Put,IV_Put,Vol_Put,OpenInt_Put,BS_Put
BS,0.00,34.20,38.20,0.00,1.000,0.566,0,0,45.00,0.00,0.00,0.95,0.00,0.000,0.566,0,0,BS
BS,0.00,29.20,33.20,0.00,1.000,0.566,0,0,50.00,0.00,0.00,1.35,0.00,0.000,0.566,0,0,BS
BS,0.00,24.20,28.00,0.00,1.000,0.566,0,0,55.00,0.00,0.00,1.30,0.00,0.000,0.566,0,0,BS
BS,0.00,19.20,23.30,0.00,0.999,0.566,0,0,60.00,0.10,0.00,0.20,0.00,-0.001,0.566,4,0,BS
BS,0.00,14.30,18.10,0.00,0.997,0.563,0,0,65.00,0.00,0.00,1.20,0.00,-0.003,0.563,0,0,BS
BS,0.00,11.20,14.30,0.00,0.966,0.504,0,0,69.00,0.20,0.05,0.60,0.00,-0.034,0.504,2,0,BS
BS,0.00,10.50,13.50,0.00,0.948,0.518,0,0,70.00,0.27,0.15,0.25,0.00,-0.052,0.518,4,0,BS
BS,0.00,8.50,12.40,0.00,0.948,0.453,0,0,71.00,0.25,0.05,0.50,0.00,-0.052,0.453,2,0,BS
BS,0.00,7.50,11.60,0.00,0.942,0.453,0,0,72.00,0.30,0.15,0.70,-2.05,-0.058,0.453,1,1,BS
BS,0.00,7.40,10.60,0.00,0.902,0.463,0,0,73.00,0.42,0.30,0.40,0.00,-0.098,0.463,0,13,BS
BS,0.00,5.70,9.60,0.00,0.886,0.424,0,0,74.00,0.66,0.30,0.95,0.00,-0.114,0.424,0,7,BS
BS,0.00,4.80,8.20,0.00,0.851,0.431,0,0,75.00,0.00,0.35,0.65,0.00,-0.149,0.431,0,0,BS
BS,0.00,4.70,7.20,0.00,0.822,0.398,0,0,76.00,0.00,0.60,0.85,0.00,-0.178,0.398,0,0,BS
BS,0.00,5.00,5.40,0.00,0.779,0.396,0,0,77.00,0.00,0.45,1.05,0.00,-0.221,0.396,0,0,BS
BS,0.00,4.20,4.60,0.00,0.734,0.377,0,0,78.00,0.89,0.90,1.30,0.00,-0.266,0.377,0,15,BS
BS,3.00,3.50,3.80,0.00,0.678,0.367,0,5,79.00,1.15,0.20,1.40,0.00,-0.322,0.367,0,2,BS
BS,3.80,2.80,3.10,0.00,0.613,0.356,0,2,80.00,2.51,1.55,1.70,0.00,-0.387,0.356,0,1,BS
BS,0.00,2.25,2.65,0.00,0.541,0.350,0,0,81.00,2.15,1.95,2.10,0.65,-0.459,0.350,25,2,BS
BS,2.28,0.00,2.20,0.00,0.466,0.348,0,2,82.00,2.00,2.30,2.80,0.00,-0.534,0.348,0,5,BS
BS,2.21,1.30,1.70,0.00,0.393,0.336,0,15,83.00,2.93,2.90,3.30,0.00,-0.607,0.336,0,10,BS
BS,1.72,0.95,1.20,0.00,0.324,0.317,0,10,84.00,0.00,2.40,4.00,0.00,-0.676,0.317,0,0,BS
BS,1.32,0.65,0.80,0.00,0.262,0.295,0,8,85.00,2.20,2.20,4.70,0.00,-0.738,0.295,0,11,BS
BS,0.79,0.45,0.80,0.00,0.208,0.285,0,11,86.00,2.85,3.90,7.10,0.00,-0.792,0.285,0,17,BS
BS,0.51,0.25,0.50,0.00,0.163,0.293,0,20,87.00,10.76,4.70,7.30,0.00,-0.837,0.293,0,7,BS
BS,0.35,0.15,0.65,0.00,0.124,0.294,0,8,88.00,3.40,5.50,8.20,0.00,-0.876,0.294,0,9,BS
BS,2.10,0.00,1.10,0.00,0.089,0.293,0,2,89.00,0.00,6.00,10.00,0.00,-0.911,0.293,0,0,BS
BS,2.10,0.00,1.30,0.00,0.065,0.292,0,2,90.00,10.40,7.00,10.90,0.00,-0.935,0.292,0,1,BS
BS,0.80,0.00,1.20,0.00,0.046,0.290,0,11,91.00,0.00,8.00,11.90,0.00,-0.954,0.290,0,0,BS
BS,0.65,0.00,1.35,0.00,0.032,0.289,0,1,92.00,0.00,9.20,12.70,0.00,-0.968,0.289,0,0,BS
BS,0.50,0.00,1.35,0.00,0.022,0.288,0,1,93.00,0.00,9.50,14.40,0.00,-0.978,0.288,0,0,BS
BS,0.20,0.00,1.35,0.00,0.014,0.288,0,1,94.00,0.00,10.90,14.80,0.00,-0.986,0.288,0,0,BS
BS,0.00,0.00,1.35,0.00,0.009,0.287,0,0,95.00,0.00,12.70,14.80,0.00,-0.991,0.287,0,0,BS
BS,0.00,0.00,1.35,0.00,0.006,0.287,0,0,96.00,0.00,12.70,16.90,0.00,-0.994,0.287,0,0,BS
BS,0.00,0.00,1.35,0.00,0.004,0.287,0,0,97.00,0.00,13.90,17.90,0.00,-0.996,0.287,0,0,BS
BS,0.00,0.00,1.35,0.00,0.002,0.287,0,0,98.00,0.00,14.90,18.90,0.00,-0.998,0.287,0,0,BS
BS,0.00,0.00,1.35,0.00,0.001,0.287,0,0,99.00,0.00,15.90,19.90,0.00,-0.999,0.287,0,0,BS
BS,0.00,0.00,1.35,0.00,0.001,0.286,0,0,100.00,0.00,17.20,20.90,0.00,-0.999,0.286,0,0,BS
