BS_Call,Last_Call,Bid_Call,Ask_Call,Change_Call,Delta_Call,IV_Call,Vol_Call,OpenInt_Call,Strike,Last_Put,Bid_Put,Ask_Put,Change_Put,Delta_Put,IV_Put,Vol_Put,OpenInt_Put,BS_Put
BS,0.00,34.30,38.30,0.00,1.000,0.594,0,0,45.00,0.00,0.00,1.40,0.00,0.000,0.594,0,0,BS
BS,0.00,29.30,33.20,0.00,1.000,0.594,0,0,50.00,0.00,0.00,1.40,0.00,0.000,0.594,0,0,BS
BS,0.00,24.40,28.40,0.00,0.999,0.593,0,0,55.00,0.00,0.00,1.45,0.00,-0.001,0.593,0,0,BS
BS,0.00,19.40,23.50,0.00,0.994,0.587,0,0,60.00,0.00,0.00,2.20,0.00,-0.006,0.587,0,0,BS
BS,0.00,14.50,18.50,0.00,0.976,0.564,0,0,65.00,0.00,0.00,2.30,0.00,-0.024,0.564,0,0,BS
BS,0.00,10.60,14.70,0.00,0.936,0.515,0,0,69.00,0.00,0.00,2.40,0.00,-0.064,0.515,0,0,BS
BS,0.00,9.70,13.10,0.00,0.921,0.501,0,0,70.00,0.00,0.00,1.65,0.00,-0.079,0.501,0,0,BS
BS,0.00,8.80,12.30,0.00,0.877,0.448,0,0,71.00,0.00,0.10,1.95,0.00,-0.123,0.448,0,0,BS
BS,0.00,7.90,11.70,0.00,0.862,0.455,0,0,72.00,0.85,0.15,1.95,0.00,-0.138,0.455,0,2,BS
BS,0.00,7.00,11.00,0.00,0.847,0.414,0,0,73.00,0.00,0.40,2.60,0.00,-0.153,0.414,0,0,BS
BS,0.00,6.10,10.00,0.00,0.809,0.377,0,0,74.00,0.00,0.25,2.00,0.00,-0.191,0.377,0,0,BS
BS,0.00,5.20,9.30,0.00,0.781,0.369,0,0,75.00,0.55,0.70,1.00,0.00,-0.219,0.369,0,9,BS
BS,0.00,4.50,8.50,0.00,0.765,0.321,0,0,76.00,0.00,0.75,3.10,0.00,-0.235,0.321,0,0,BS
BS,0.00,3.60,7.60,0.00,0.717,0.340,0,0,77.00,0.00,0.55,1.45,0.00,-0.283,0.340,0,0,BS
BS,0.00,2.75,5.20,0.00,0.686,0.311,0,0,78.00,1.70,1.15,1.70,0.00,-0.314,0.311,0,3,BS
BS,0.00,4.00,4.40,0.00,0.645,0.310,0,0,79.00,0.00,1.50,1.90,0.00,-0.355,0.310,0,0,BS
BS,0.00,3.30,3.80,0.00,0.598,0.302,0,0,80.00,2.14,1.90,2.25,0.34,-0.402,0.302,2,31,BS
BS,0.00,1.15,3.20,0.00,0.545,0.297,0,0,81.00,2.66,1.35,2.65,0.00,-0.455,0.297,0,0,BS
BS,3.07,2.20,2.65,0.00,0.487,0.290,0,1,82.00,3.00,1.80,3.20,0.00,-0.513,0.290,0,30,BS
BS,2.03,1.65,2.20,-0.28,0.426,0.290,2,1,83.00,0.00,3.30,3.60,0.00,-0.574,0.290,0,0,BS
BS,0.00,1.30,1.75,0.00,0.362,0.294,0,0,84.00,3.77,3.90,4.30,0.00,-0.638,0.294,0,11,BS
BS,1.25,0.95,2.50,0.00,0.299,0.296,0,423,85.00,0.00,4.40,7.00,0.00,-0.701,0.296,0,0,BS
BS,0.00,0.70,1.20,0.00,0.239,0.294,0,0,86.00,0.00,4.00,6.70,0.00,-0.761,0.294,0,0,BS
BS,0.00,0.25,0.95,0.00,0.180,0.287,0,0,87.00,0.00,4.30,8.30,0.00,-0.820,0.287,0,0,BS
BS,0.00,0.35,2.50,0.00,0.152,0.306,0,0,88.00,0.00,5.30,9.20,0.00,-0.848,0.306,0,0,BS
BS,0.00,0.00,1.85,0.00,0.123,0.322,0,0,89.00,0.00,6.20,10.10,0.00,-0.877,0.322,0,0,BS
BS,0.00,0.00,1.65,0.00,0.094,0.336,0,0,90.00,0.00,7.10,11.10,0.00,-0.906,0.336,0,0,BS
BS,0.00,0.00,1.55,0.00,0.067,0.349,0,0,91.00,0.00,8.00,12.30,0.00,-0.933,0.349,0,0,BS
BS,0.14,0.00,1.55,0.00,0.051,0.356,0,3,92.00,0.00,9.00,13.00,0.00,-0.949,0.356,0,0,BS
BS,0.00,0.00,1.55,0.00,0.036,0.363,0,0,93.00,0.00,9.90,14.00,0.00,-0.964,0.363,0,0,BS
BS,0.00,0.00,1.65,0.00,0.025,0.367,0,0,94.00,0.00,10.90,14.80,0.00,-0.975,0.367,0,0,BS
BS,0.00,0.00,1.65,0.00,0.017,0.371,0,0,95.00,0.00,11.90,15.90,0.00,-0.983,0.371,0,0,BS
BS,0.00,0.00,1.65,0.00,0.012,0.373,0,0,96.00,0.00,12.90,16.90,0.00,-0.988,0.373,0,0,BS
BS,0.00,0.00,2.25,0.00,0.008,0.375,0,0,97.00,0.00,13.90,17.90,0.00,-0.992,0.375,0,0,BS
BS,0.00,0.00,1.65,0.00,0.005,0.376,0,0,98.00,0.00,14.90,19.40,0.00,-0.995,0.376,0,0,BS
BS,0.00,0.00,1.50,0.00,0.003,0.377,0,0,99.00,0.00,15.90,20.30,0.00,-0.997,0.377,0,0,BS
BS,0.00,0.00,2.25,0.00,0.002,0.377,0,0,100.00,0.00,16.90,20.90,0.00,-0.998,0.377,0,0,BS
